cashflow_id,portfolio_id,cashflow_type,cashflow_date,amount,currency,created_at,updated_at
25,2,DIVIDEND,2021-02-20,300000.00,USD,2021-02-20T11:15:00Z,2021-02-20T11:15:00Z
26,2,FEE,2021-01-01,75000.00,USD,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z
27,2,CONTRIBUTION,2021-05-10,1200000.00,USD,2021-05-10T14:30:00Z,2021-05-10T14:30:00Z
28,2,DISTRIBUTION,2021-08-20,900000.00,USD,2021-08-20T10:00:00Z,2021-08-20T10:00:00Z
29,3,DIVIDEND,2021-03-10,50000.00,USD,2021-03-10T09:45:00Z,2021-03-10T09:45:00Z
30,3,FEE,2021-01-01,30000.00,USD,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z
31,3,CONTRIBUTION,2021-06-05,400000.00,USD,2021-06-05T12:00:00Z,2021-06-05T12:00:00Z
32,3,DISTRIBUTION,2021-09-20,200000.00,USD,2021-09-20T15:30:00Z,2021-09-20T15:30:00Z
33,4,DIVIDEND,2021-02-15,200000.00,USD,2021-02-15T10:30:00Z,2021-02-15T10:30:00Z
34,4,FEE,2021-01-01,60000.00,USD,2021-01-01T00:00:00Z,2021-01-01T00:00:00Z
35,4,CONTRIBUTION,2021-07-01,700000.00,USD,2021-07-01T11:45:00Z,2021-07-01T11:45:00Z
36,1,DIVIDEND,2022-01-20,180000.00,USD,2022-01-20T10:00:00Z,2022-01-20T10:00:00Z
37,1,FEE,2022-01-01,50000.00,USD,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z
38,1,CONTRIBUTION,2022-03-15,900000.00,USD,2022-03-15T13:30:00Z,2022-03-15T13:30:00Z
39,2,DIVIDEND,2022-02-10,350000.00,USD,2022-02-10T11:00:00Z,2022-02-10T11:00:00Z
40,2,FEE,2022-01-01,75000.00,USD,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z
41,3,CONTRIBUTION,2022-04-20,500000.00,USD,2022-04-20T14:15:00Z,2022-04-20T14:15:00Z
42,3,DIVIDEND,2022-03-15,75000.00,USD,2022-03-15T09:30:00Z,2022-03-15T09:30:00Z
43,3,FEE,2022-01-01,30000.00,USD,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z
44,4,DIVIDEND,2022-01-30,250000.00,USD,2022-01-30T10:45:00Z,2022-01-30T10:45:00Z
45,4,FEE,2022-01-01,60000.00,USD,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z
46,1,DISTRIBUTION,2022-05-20,700000.00,USD,2022-05-20T14:00:00Z,2022-05-20T14:00:00Z
47,2,DISTRIBUTION,2022-06-15,1100000.00,USD,2022-06-15T13:45:00Z,2022-06-15T13:45:00Z
48,3,DISTRIBUTION,2022-07-10,300000.00,USD,2022-07-10T15:00:00Z,2022-07-10T15:00:00Z
49,4,DISTRIBUTION,2022-08-05,800000.00,USD,2022-08-05T12:30:00Z,2022-08-05T12:30:00Z
50,1,DIVIDEND,2023-01-15,200000.00,USD,2023-01-15T10:00:00Z,2023-01-15T10:00:00Z
51,5,CONTRIBUTION,2021-01-14,1000000.00,USD,2021-01-14T10:00:00Z,2021-01-14T10:00:00Z
52,5,DISTRIBUTION,2021-03-20,500000.00,USD,2021-03-20T14:30:00Z,2021-03-20T14:30:00Z
53,5,DIVIDEND,2021-06-15,250000.00,USD,2021-06-15T09:00:00Z,2021-06-15T09:00:00Z
54,5,FEE,2020-12-31,50000.00,USD,2020-12-31T00:00:00Z,2020-12-31T00:00:00Z
55,5,CONTRIBUTION,2021-06-30,750000.00,USD,2021-06-30T11:15:00Z,2021-06-30T11:15:00Z
56,6,CONTRIBUTION,2021-02-09,2000000.00,USD,2021-02-09T09:30:00Z,2021-02-09T09:30:00Z
57,6,DISTRIBUTION,2021-04-15,1000000.00,USD,2021-04-15T14:00:00Z,2021-04-15T14:00:00Z
58,6,DIVIDEND,2021-07-20,500000.00,USD,2021-07-20T10:30:00Z,2021-07-20T10:30:00Z
59,6,FEE,2020-12-31,75000.00,USD,2020-12-31T00:00:00Z,2020-12-31T00:00:00Z
60,6,CONTRIBUTION,2021-09-15,1500000.00,USD,2021-09-15T13:45:00Z,2021-09-15T13:45:00Z
61,7,CONTRIBUTION,2021-03-01,500000.00,USD,2021-03-01T08:00:00Z,2021-03-01T08:00:00Z
62,7,DISTRIBUTION,2021-05-10,250000.00,USD,2021-05-10T15:30:00Z,2021-05-10T15:30:00Z
63,7,DIVIDEND,2021-08-15,100000.00,USD,2021-08-15T11:00:00Z,2021-08-15T11:00:00Z
64,7,FEE,2020-12-31,30000.00,USD,2020-12-31T00:00:00Z,2020-12-31T00:00:00Z
65,7,CONTRIBUTION,2021-10-20,300000.00,USD,2021-10-20T12:30:00Z,2021-10-20T12:30:00Z
66,8,CONTRIBUTION,2022-01-10,1500000.00,USD,2022-01-10T09:00:00Z,2022-01-10T09:00:00Z
67,8,DISTRIBUTION,2022-03-15,750000.00,USD,2022-03-15T14:15:00Z,2022-03-15T14:15:00Z
68,8,DIVIDEND,2022-06-20,375000.00,USD,2022-06-20T10:45:00Z,2022-06-20T10:45:00Z
69,8,FEE,2022-01-01,60000.00,USD,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z
70,8,CONTRIBUTION,2022-09-10,1000000.00,USD,2022-09-10T11:30:00Z,2022-09-10T11:30:00Z
71,5,DIVIDEND,2022-01-15,150000.00,USD,2022-01-15T09:30:00Z,2022-01-15T09:30:00Z
72,5,FEE,2022-01-01,50000.00,USD,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z
73,5,CONTRIBUTION,2022-04-01,800000.00,USD,2022-04-01T10:00:00Z,2022-04-01T10:00:00Z
74,5,DISTRIBUTION,2022-07-15,600000.00,USD,2022-07-15T13:00:00Z,2022-07-15T13:00:00Z
75,6,DIVIDEND,2022-02-20,300000.00,USD,2022-02-20T11:15:00Z,2022-02-20T11:15:00Z
76,6,FEE,2022-01-01,75000.00,USD,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z
77,6,CONTRIBUTION,2022-05-10,1200000.00,USD,2022-05-10T14:30:00Z,2022-05-10T14:30:00Z
78,6,DISTRIBUTION,2022-08-20,900000.00,USD,2022-08-20T10:00:00Z,2022-08-20T10:00:00Z
79,7,DIVIDEND,2022-03-10,50000.00,USD,2022-03-10T09:45:00Z,2022-03-10T09:45:00Z
80,7,FEE,2022-01-01,30000.00,USD,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z
81,7,CONTRIBUTION,2022-06-05,400000.00,USD,2022-06-05T12:00:00Z,2022-06-05T12:00:00Z
82,7,DISTRIBUTION,2022-09-20,200000.00,USD,2022-09-20T15:30:00Z,2022-09-20T15:30:00Z
83,8,DIVIDEND,2022-02-15,200000.00,USD,2022-02-15T10:30:00Z,2022-02-15T10:30:00Z
84,8,FEE,2022-01-01,60000.00,USD,2022-01-01T00:00:00Z,2022-01-01T00:00:00Z
85,8,CONTRIBUTION,2022-07-01,700000.00,USD,2022-07-01T11:45:00Z,2022-07-01T11:45:00Z
86,5,DIVIDEND,2023-01-20,180000.00,USD,2023-01-20T10:00:00Z,2023-01-20T10:00:00Z
87,5,FEE,2023-01-01,50000.00,USD,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z
88,5,CONTRIBUTION,2023-03-15,900000.00,USD,2023-03-15T13:30:00Z,2023-03-15T13:30:00Z
89,6,DIVIDEND,2023-02-10,350000.00,USD,2023-02-10T11:00:00Z,2023-02-10T11:00:00Z
90,6,FEE,2023-01-01,75000.00,USD,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z
91,7,CONTRIBUTION,2023-04-20,500000.00,USD,2023-04-20T14:15:00Z,2023-04-20T14:15:00Z
92,7,DIVIDEND,2023-03-15,75000.00,USD,2023-03-15T09:30:00Z,2023-03-15T09:30:00Z
93,7,FEE,2023-01-01,30000.00,USD,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z
94,8,DIVIDEND,2023-01-30,250000.00,USD,2023-01-30T10:45:00Z,2023-01-30T10:45:00Z
95,8,FEE,2023-01-01,60000.00,USD,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z
96,5,DISTRIBUTION,2023-05-20,700000.00,USD,2023-05-20T14:00:00Z,2023-05-20T14:00:00Z
97,6,DISTRIBUTION,2023-06-15,1100000.00,USD,2023-06-15T13:45:00Z,2023-06-15T13:45:00Z
98,7,DISTRIBUTION,2023-07-10,300000.00,USD,2023-07-10T15:00:00Z,2023-07-10T15:00:00Z
99,8,DISTRIBUTION,2023-08-05,800000.00,USD,2023-08-05T12:30:00Z,2023-08-05T12:30:00Z
100,5,DIVIDEND,2024-01-15,200000.00,USD,2024-01-15T10:00:00Z,2024-01-15T10:00:00Z
101,9,CONTRIBUTION,2022-01-14,1000000.00,USD,2022-01-14T10:00:00Z,2022-01-14T10:00:00Z
102,9,DISTRIBUTION,2022-03-20,500000.00,USD,2022-03-20T14:30:00Z,2022-03-20T14:30:00Z
103,9,DIVIDEND,2022-06-15,250000.00,USD,2022-06-15T09:00:00Z,2022-06-15T09:00:00Z
104,9,FEE,2021-12-31,50000.00,USD,2021-12-31T00:00:00Z,2021-12-31T00:00:00Z
105,9,CONTRIBUTION,2022-06-30,750000.00,USD,2022-06-30T11:15:00Z,2022-06-30T11:15:00Z
106,10,CONTRIBUTION,2022-02-09,2000000.00,USD,2022-02-09T09:30:00Z,2022-02-09T09:30:00Z
107,10,DISTRIBUTION,2022-04-15,1000000.00,USD,2022-04-15T14:00:00Z,2022-04-15T14:00:00Z
108,10,DIVIDEND,2022-07-20,500000.00,USD,2022-07-20T10:30:00Z,2022-07-20T10:30:00Z
109,10,FEE,2021-12-31,75000.00,USD,2021-12-31T00:00:00Z,2021-12-31T00:00:00Z
110,10,CONTRIBUTION,2022-09-15,1500000.00,USD,2022-09-15T13:45:00Z,2022-09-15T13:45:00Z
111,11,CONTRIBUTION,2022-03-01,500000.00,USD,2022-03-01T08:00:00Z,2022-03-01T08:00:00Z
112,11,DISTRIBUTION,2022-05-10,250000.00,USD,2022-05-10T15:30:00Z,2022-05-10T15:30:00Z
113,11,DIVIDEND,2022-08-15,100000.00,USD,2022-08-15T11:00:00Z,2022-08-15T11:00:00Z
114,11,FEE,2021-12-31,30000.00,USD,2021-12-31T00:00:00Z,2021-12-31T00:00:00Z
115,11,CONTRIBUTION,2022-10-20,300000.00,USD,2022-10-20T12:30:00Z,2022-10-20T12:30:00Z
116,12,CONTRIBUTION,2023-01-10,1500000.00,USD,2023-01-10T09:00:00Z,2023-01-10T09:00:00Z
117,12,DISTRIBUTION,2023-03-15,750000.00,USD,2023-03-15T14:15:00Z,2023-03-15T14:15:00Z
118,12,DIVIDEND,2023-06-20,375000.00,USD,2023-06-20T10:45:00Z,2023-06-20T10:45:00Z
119,12,FEE,2023-01-01,60000.00,USD,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z
120,12,CONTRIBUTION,2023-09-10,1000000.00,USD,2023-09-10T11:30:00Z,2023-09-10T11:30:00Z
121,9,DIVIDEND,2023-01-15,150000.00,USD,2023-01-15T09:30:00Z,2023-01-15T09:30:00Z
122,9,FEE,2023-01-01,50000.00,USD,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z
123,9,CONTRIBUTION,2023-04-01,800000.00,USD,2023-04-01T10:00:00Z,2023-04-01T10:00:00Z
124,9,DISTRIBUTION,2023-07-15,600000.00,USD,2023-07-15T13:00:00Z,2023-07-15T13:00:00Z
125,10,DIVIDEND,2023-02-20,300000.00,USD,2023-02-20T11:15:00Z,2023-02-20T11:15:00Z
126,10,FEE,2023-01-01,75000.00,USD,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z
127,10,CONTRIBUTION,2023-05-10,1200000.00,USD,2023-05-10T14:30:00Z,2023-05-10T14:30:00Z
128,10,DISTRIBUTION,2023-08-20,900000.00,USD,2023-08-20T10:00:00Z,2023-08-20T10:00:00Z
129,11,DIVIDEND,2023-03-10,50000.00,USD,2023-03-10T09:45:00Z,2023-03-10T09:45:00Z
130,11,FEE,2023-01-01,30000.00,USD,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z
131,11,CONTRIBUTION,2023-06-05,400000.00,USD,2023-06-05T12:00:00Z,2023-06-05T12:00:00Z
132,11,DISTRIBUTION,2023-09-20,200000.00,USD,2023-09-20T15:30:00Z,2023-09-20T15:30:00Z
133,12,DIVIDEND,2023-02-15,200000.00,USD,2023-02-15T10:30:00Z,2023-02-15T10:30:00Z
134,12,FEE,2023-01-01,60000.00,USD,2023-01-01T00:00:00Z,2023-01-01T00:00:00Z
135,12,CONTRIBUTION,2023-07-01,700000.00,USD,2023-07-01T11:45:00Z,2023-07-01T11:45:00Z
136,9,DIVIDEND,2024-01-20,180000.00,USD,2024-01-20T10:00:00Z,2024-01-20T10:00:00Z
137,9,FEE,2024-01-01,50000.00,USD,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
138,9,CONTRIBUTION,2024-03-14,900000.00,USD,2024-03-14T13:30:00Z,2024-03-14T13:30:00Z
139,10,DIVIDEND,2024-02-10,350000.00,USD,2024-02-10T11:00:00Z,2024-02-10T11:00:00Z
140,10,FEE,2024-01-01,75000.00,USD,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
141,11,CONTRIBUTION,2024-04-19,500000.00,USD,2024-04-19T14:15:00Z,2024-04-19T14:15:00Z
142,11,DIVIDEND,2024-03-14,75000.00,USD,2024-03-14T09:30:00Z,2024-03-14T09:30:00Z
143,11,FEE,2024-01-01,30000.00,USD,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
144,12,DIVIDEND,2024-01-30,250000.00,USD,2024-01-30T10:45:00Z,2024-01-30T10:45:00Z
145,12,FEE,2024-01-01,60000.00,USD,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
146,9,DISTRIBUTION,2024-05-19,700000.00,USD,2024-05-19T14:00:00Z,2024-05-19T14:00:00Z
147,10,DISTRIBUTION,2024-06-14,1100000.00,USD,2024-06-14T13:45:00Z,2024-06-14T13:45:00Z
148,11,DISTRIBUTION,2024-07-09,300000.00,USD,2024-07-09T15:00:00Z,2024-07-09T15:00:00Z
149,12,DISTRIBUTION,2024-08-04,800000.00,USD,2024-08-04T12:30:00Z,2024-08-04T12:30:00Z
150,9,DIVIDEND,2025-01-14,200000.00,USD,2025-01-14T10:00:00Z,2025-01-14T10:00:00Z
151,13,CONTRIBUTION,2023-01-14,1000000.00,USD,2023-01-14T10:00:00Z,2023-01-14T10:00:00Z
152,13,DISTRIBUTION,2023-03-20,500000.00,USD,2023-03-20T14:30:00Z,2023-03-20T14:30:00Z
153,13,DIVIDEND,2023-06-15,250000.00,USD,2023-06-15T09:00:00Z,2023-06-15T09:00:00Z
154,13,FEE,2022-12-31,50000.00,USD,2022-12-31T00:00:00Z,2022-12-31T00:00:00Z
155,13,CONTRIBUTION,2023-06-30,750000.00,USD,2023-06-30T11:15:00Z,2023-06-30T11:15:00Z
156,14,CONTRIBUTION,2023-02-09,2000000.00,USD,2023-02-09T09:30:00Z,2023-02-09T09:30:00Z
157,14,DISTRIBUTION,2023-04-15,1000000.00,USD,2023-04-15T14:00:00Z,2023-04-15T14:00:00Z
158,14,DIVIDEND,2023-07-20,500000.00,USD,2023-07-20T10:30:00Z,2023-07-20T10:30:00Z
159,14,FEE,2022-12-31,75000.00,USD,2022-12-31T00:00:00Z,2022-12-31T00:00:00Z
160,14,CONTRIBUTION,2023-09-15,1500000.00,USD,2023-09-15T13:45:00Z,2023-09-15T13:45:00Z
161,15,CONTRIBUTION,2023-03-01,500000.00,USD,2023-03-01T08:00:00Z,2023-03-01T08:00:00Z
162,15,DISTRIBUTION,2023-05-10,250000.00,USD,2023-05-10T15:30:00Z,2023-05-10T15:30:00Z
163,15,DIVIDEND,2023-08-15,100000.00,USD,2023-08-15T11:00:00Z,2023-08-15T11:00:00Z
164,15,FEE,2022-12-31,30000.00,USD,2022-12-31T00:00:00Z,2022-12-31T00:00:00Z
165,15,CONTRIBUTION,2023-10-20,300000.00,USD,2023-10-20T12:30:00Z,2023-10-20T12:30:00Z
166,16,CONTRIBUTION,2024-01-10,1500000.00,USD,2024-01-10T09:00:00Z,2024-01-10T09:00:00Z
167,16,DISTRIBUTION,2024-03-14,750000.00,USD,2024-03-14T14:15:00Z,2024-03-14T14:15:00Z
168,16,DIVIDEND,2024-06-19,375000.00,USD,2024-06-19T10:45:00Z,2024-06-19T10:45:00Z
169,16,FEE,2024-01-01,60000.00,USD,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
170,16,CONTRIBUTION,2024-09-09,1000000.00,USD,2024-09-09T11:30:00Z,2024-09-09T11:30:00Z
171,13,DIVIDEND,2024-01-15,150000.00,USD,2024-01-15T09:30:00Z,2024-01-15T09:30:00Z
172,13,FEE,2024-01-01,50000.00,USD,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
173,13,CONTRIBUTION,2024-03-31,800000.00,USD,2024-03-31T10:00:00Z,2024-03-31T10:00:00Z
174,13,DISTRIBUTION,2024-07-14,600000.00,USD,2024-07-14T13:00:00Z,2024-07-14T13:00:00Z
175,14,DIVIDEND,2024-02-20,300000.00,USD,2024-02-20T11:15:00Z,2024-02-20T11:15:00Z
176,14,FEE,2024-01-01,75000.00,USD,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
177,14,CONTRIBUTION,2024-05-09,1200000.00,USD,2024-05-09T14:30:00Z,2024-05-09T14:30:00Z
178,14,DISTRIBUTION,2024-08-19,900000.00,USD,2024-08-19T10:00:00Z,2024-08-19T10:00:00Z
179,15,DIVIDEND,2024-03-09,50000.00,USD,2024-03-09T09:45:00Z,2024-03-09T09:45:00Z
180,15,FEE,2024-01-01,30000.00,USD,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
181,15,CONTRIBUTION,2024-06-04,400000.00,USD,2024-06-04T12:00:00Z,2024-06-04T12:00:00Z
182,15,DISTRIBUTION,2024-09-19,200000.00,USD,2024-09-19T15:30:00Z,2024-09-19T15:30:00Z
183,16,DIVIDEND,2024-02-15,200000.00,USD,2024-02-15T10:30:00Z,2024-02-15T10:30:00Z
184,16,FEE,2024-01-01,60000.00,USD,2024-01-01T00:00:00Z,2024-01-01T00:00:00Z
185,16,CONTRIBUTION,2024-06-30,700000.00,USD,2024-06-30T11:45:00Z,2024-06-30T11:45:00Z
186,13,DIVIDEND,2025-01-19,180000.00,USD,2025-01-19T10:00:00Z,2025-01-19T10:00:00Z
187,13,FEE,2024-12-31,50000.00,USD,2024-12-31T00:00:00Z,2024-12-31T00:00:00Z
188,13,CONTRIBUTION,2025-03-14,900000.00,USD,2025-03-14T13:30:00Z,2025-03-14T13:30:00Z
189,14,DIVIDEND,2025-02-09,350000.00,USD,2025-02-09T11:00:00Z,2025-02-09T11:00:00Z
190,14,FEE,2024-12-31,75000.00,USD,2024-12-31T00:00:00Z,2024-12-31T00:00:00Z
191,15,CONTRIBUTION,2025-04-19,500000.00,USD,2025-04-19T14:15:00Z,2025-04-19T14:15:00Z
192,15,DIVIDEND,2025-03-14,75000.00,USD,2025-03-14T09:30:00Z,2025-03-14T09:30:00Z
193,15,FEE,2024-12-31,30000.00,USD,2024-12-31T00:00:00Z,2024-12-31T00:00:00Z
194,16,DIVIDEND,2025-01-29,250000.00,USD,2025-01-29T10:45:00Z,2025-01-29T10:45:00Z
195,16,FEE,2024-12-31,60000.00,USD,2024-12-31T00:00:00Z,2024-12-31T00:00:00Z
196,13,DISTRIBUTION,2025-05-19,700000.00,USD,2025-05-19T14:00:00Z,2025-05-19T14:00:00Z
197,14,DISTRIBUTION,2025-06-14,1100000.00,USD,2025-06-14T13:45:00Z,2025-06-14T13:45:00Z
198,15,DISTRIBUTION,2025-07-09,300000.00,USD,2025-07-09T15:00:00Z,2025-07-09T15:00:00Z
199,16,DISTRIBUTION,2025-08-04,800000.00,USD,2025-08-04T12:30:00Z,2025-08-04T12:30:00Z
200,13,DIVIDEND,2026-01-14,200000.00,USD,2026-01-14T10:00:00Z,2026-01-14T10:00:00Z
201,17,CONTRIBUTION,2024-01-14,1000000.00,USD,2024-01-14T10:00:00Z,2024-01-14T10:00:00Z
202,17,DISTRIBUTION,2024-03-19,500000.00,USD,2024-03-19T14:30:00Z,2024-03-19T14:30:00Z
203,17,DIVIDEND,2024-06-14,250000.00,USD,2024-06-14T09:00:00Z,2024-06-14T09:00:00Z
204,17,FEE,2023-12-31,50000.00,USD,2023-12-31T00:00:00Z,2023-12-31T00:00:00Z
205,17,CONTRIBUTION,2024-06-29,750000.00,USD,2024-06-29T11:15:00Z,2024-06-29T11:15:00Z
206,18,CONTRIBUTION,2024-02-09,2000000.00,USD,2024-02-09T09:30:00Z,2024-02-09T09:30:00Z
207,18,DISTRIBUTION,2024-04-14,1000000.00,USD,2024-04-14T14:00:00Z,2024-04-14T14:00:00Z
208,18,DIVIDEND,2024-07-19,500000.00,USD,2024-07-19T10:30:00Z,2024-07-19T10:30:00Z
209,18,FEE,2023-12-31,75000.00,USD,2023-12-31T00:00:00Z,2023-12-31T00:00:00Z
210,18,CONTRIBUTION,2024-09-14,1500000.00,USD,2024-09-14T13:45:00Z,2024-09-14T13:45:00Z
211,19,CONTRIBUTION,2024-02-29,500000.00,USD,2024-02-29T08:00:00Z,2024-02-29T08:00:00Z
212,19,DISTRIBUTION,2024-05-09,250000.00,USD,2024-05-09T15:30:00Z,2024-05-09T15:30:00Z
213,19,DIVIDEND,2024-08-14,100000.00,USD,2024-08-14T11:00:00Z,2024-08-14T11:00:00Z
214,19,FEE,2023-12-31,30000.00,USD,2023-12-31T00:00:00Z,2023-12-31T00:00:00Z
215,19,CONTRIBUTION,2024-10-19,300000.00,USD,2024-10-19T12:30:00Z,2024-10-19T12:30:00Z
216,20,CONTRIBUTION,2025-01-09,1500000.00,USD,2025-01-09T09:00:00Z,2025-01-09T09:00:00Z
217,20,DISTRIBUTION,2025-03-14,750000.00,USD,2025-03-14T14:15:00Z,2025-03-14T14:15:00Z
218,20,DIVIDEND,2025-06-19,375000.00,USD,2025-06-19T10:45:00Z,2025-06-19T10:45:00Z
219,20,FEE,2024-12-31,60000.00,USD,2024-12-31T00:00:00Z,2024-12-31T00:00:00Z
220,20,CONTRIBUTION,2025-09-09,1000000.00,USD,2025-09-09T11:30:00Z,2025-09-09T11:30:00Z
221,17,DIVIDEND,2025-01-14,150000.00,USD,2025-01-14T09:30:00Z,2025-01-14T09:30:00Z
222,17,FEE,2024-12-31,50000.00,USD,2024-12-31T00:00:00Z,2024-12-31T00:00:00Z
223,17,CONTRIBUTION,2025-03-31,800000.00,USD,2025-03-31T10:00:00Z,2025-03-31T10:00:00Z
224,17,DISTRIBUTION,2025-07-14,600000.00,USD,2025-07-14T13:00:00Z,2025-07-14T13:00:00Z
225,18,DIVIDEND,2025-02-19,300000.00,USD,2025-02-19T11:15:00Z,2025-02-19T11:15:00Z
226,18,FEE,2024-12-31,75000.00,USD,2024-12-31T00:00:00Z,2024-12-31T00:00:00Z
227,18,CONTRIBUTION,2025-05-09,1200000.00,USD,2025-05-09T14:30:00Z,2025-05-09T14:30:00Z
228,18,DISTRIBUTION,2025-08-19,900000.00,USD,2025-08-19T10:00:00Z,2025-08-19T10:00:00Z
229,19,DIVIDEND,2025-03-09,50000.00,USD,2025-03-09T09:45:00Z,2025-03-09T09:45:00Z
230,19,FEE,2024-12-31,30000.00,USD,2024-12-31T00:00:00Z,2024-12-31T00:00:00Z
231,19,CONTRIBUTION,2025-06-04,400000.00,USD,2025-06-04T12:00:00Z,2025-06-04T12:00:00Z
232,19,DISTRIBUTION,2025-09-19,200000.00,USD,2025-09-19T15:30:00Z,2025-09-19T15:30:00Z
233,20,DIVIDEND,2025-02-14,200000.00,USD,2025-02-14T10:30:00Z,2025-02-14T10:30:00Z
234,20,FEE,2024-12-31,60000.00,USD,2024-12-31T00:00:00Z,2024-12-31T00:00:00Z
235,20,CONTRIBUTION,2025-06-30,700000.00,USD,2025-06-30T11:45:00Z,2025-06-30T11:45:00Z
236,17,DIVIDEND,2026-01-19,180000.00,USD,2026-01-19T10:00:00Z,2026-01-19T10:00:00Z
237,17,FEE,2025-12-31,50000.00,USD,2025-12-31T00:00:00Z,2025-12-31T00:00:00Z
238,17,CONTRIBUTION,2026-03-14,900000.00,USD,2026-03-14T13:30:00Z,2026-03-14T13:30:00Z
239,18,DIVIDEND,2026-02-09,350000.00,USD,2026-02-09T11:00:00Z,2026-02-09T11:00:00Z
240,18,FEE,2025-12-31,75000.00,USD,2025-12-31T00:00:00Z,2025-12-31T00:00:00Z
241,19,CONTRIBUTION,2026-04-19,500000.00,USD,2026-04-19T14:15:00Z,2026-04-19T14:15:00Z
242,19,DIVIDEND,2026-03-14,75000.00,USD,2026-03-14T09:30:00Z,2026-03-14T09:30:00Z
243,19,FEE,2025-12-31,30000.00,USD,2025-12-31T00:00:00Z,2025-12-31T00:00:00Z
